"","Date","Price","Open","High","Low","Volume","Change"
"57","Jun 11, 2021","1,879.60","1,901.90","1,906.20","1,876.10","220.46K","-0.89%"
"58","Jun 10, 2021","1,896.40","1,891.40","1,903.00","1,871.80","250.55K","0.05%"
"59","Jun 09, 2021","1,895.50","1,894.40","1,901.70","1,889.30","147.33K","0.06%"
"60","Jun 08, 2021","1,894.40","1,901.60","1,906.90","1,885.70","173.60K","-0.23%"
"61","Jun 07, 2021","1,898.80","1,894.30","1,902.90","1,883.70","146.02K","0.36%"
"62","Jun 04, 2021","1,892.00","1,872.70","1,899.00","1,855.60","228.83K","1.00%"
"63","Jun 03, 2021","1,873.30","1,910.50","1,912.30","1,866.70","278.58K","-1.92%"
"64","Jun 02, 2021","1,909.90","1,903.00","1,911.80","1,896.40","166.04K","0.26%"
"65","Jun 01, 2021","1,905.00","1,906.80","1,919.20","1,894.50","290.65K","-0.32%"
"66","May 31, 2021","1,911.15","1,906.80","1,913.40","1,904.85","0","0.23%"
"67","May 30, 2021","1,906.75","1,907.60","1,907.90","1,906.10","0","0.08%"
"68","May 28, 2021","1,905.30","1,899.80","1,908.80","1,884.30","198.14K","0.36%"
"69","May 27, 2021","1,898.50","1,899.30","1,906.50","1,890.80","211.79K","-0.28%"
"70","May 26, 2021","1,903.80","1,902.40","1,915.60","1,893.00","178.18K","0.17%"
"71","May 25, 2021","1,900.50","1,883.40","1,903.70","1,875.40","176.60K","0.73%"
"72","May 24, 2021","1,886.70","1,885.60","1,890.00","1,877.90","55.84K","0.42%"
"73","May 21, 2021","1,878.90","1,880.40","1,892.30","1,872.50","53.04K","-0.27%"
"74","May 20, 2021","1,883.90","1,872.20","1,887.20","1,866.20","44.91K","0.03%"
"75","May 19, 2021","1,883.40","1,872.20","1,893.20","1,854.40","58.81K","0.71%"
"76","May 18, 2021","1,870.10","1,869.10","1,877.80","1,865.60","49.55K","0.03%"
"77","May 17, 2021","1,869.60","1,843.50","1,871.10","1,843.10","42.11K","1.61%"
"78","May 14, 2021","1,840.00","1,829.30","1,849.00","1,821.30","24.14K","0.76%"
"79","May 13, 2021","1,826.10","1,816.60","1,830.90","1,810.70","41.80K","0.07%"
"80","May 12, 2021","1,824.80","1,840.20","1,846.50","1,815.00","55.16K","-0.72%"
"81","May 11, 2021","1,838.10","1,837.60","1,844.30","1,819.80","71.63K","-0.09%"
"82","May 10, 2021","1,839.80","1,836.10","1,848.40","1,832.80","64.97K","0.34%"
"83","May 07, 2021","1,833.50","1,817.30","1,846.50","1,815.70","26.44K","0.86%"
"84","May 06, 2021","1,817.90","1,789.00","1,820.50","1,784.10","23.09K","1.76%"
"85","May 05, 2021","1,786.50","1,780.90","1,790.20","1,771.50","20.46K","0.47%"
"86","May 04, 2021","1,778.20","1,795.10","1,801.60","1,771.60","9.94K","-0.88%"
"87","May 03, 2021","1,794.00","1,770.40","1,800.80","1,768.50","7.92K","1.37%"
"88","Apr 30, 2021","1,769.80","1,773.90","1,775.00","1,765.60","17.31K","-0.04%"
"89","Apr 29, 2021","1,770.50","1,784.20","1,791.50","1,756.80","8.69K","-0.32%"
"90","Apr 28, 2021","1,776.10","1,777.30","1,784.70","1,763.90","5.98K","-0.28%"
"91","Apr 27, 2021","1,781.00","1,783.20","1,787.80","1,776.60","7.80K","-0.07%"
"92","Apr 26, 2021","1,782.30","1,776.00","1,784.90","1,770.80","3.72K","0.13%"
"93","Apr 23, 2021","1,779.90","1,786.30","1,798.20","1,771.70","5.12K","-0.23%"
"94","Apr 22, 2021","1,784.00","1,797.00","1,800.00","1,779.30","2.13K","-0.62%"
"95","Apr 21, 2021","1,795.20","1,780.60","1,800.00","1,779.00","3.26K","0.83%"
"96","Apr 20, 2021","1,780.40","1,772.70","1,782.60","1,765.80","1.91K","0.43%"
"97","Apr 19, 2021","1,772.70","1,780.10","1,791.70","1,768.60","1.87K","-0.53%"
"98","Apr 16, 2021","1,782.20","1,766.20","1,786.20","1,763.70","2.57K","0.76%"
"99","Apr 15, 2021","1,768.80","1,738.80","1,772.40","1,736.80","3.88K","1.76%"
"100","Apr 14, 2021","1,738.20","1,748.40","1,752.50","1,734.70","2.79K","-0.65%"
"101","Apr 13, 2021","1,749.50","1,734.70","1,751.20","1,725.50","4.27K","0.86%"
"102","Apr 12, 2021","1,734.60","1,745.20","1,748.00","1,729.60","3.63K","-0.70%"
"103","Apr 09, 2021","1,746.80","1,757.30","1,759.00","1,732.90","4.02K","-0.77%"
"104","Apr 08, 2021","1,760.30","1,739.50","1,761.20","1,735.80","4.00K","0.96%"
"105","Apr 07, 2021","1,743.60","1,746.60","1,747.20","1,734.00","1.72K","-0.08%"
"106","Apr 06, 2021","1,745.00","1,731.80","1,748.30","1,730.70","3.87K","0.83%"
"107","Apr 05, 2021","1,730.70","1,732.10","1,735.90","1,723.60","1.37K","0.02%"
"108","Apr 01, 2021","1,730.30","1,711.40","1,733.20","1,708.80","2.20K","0.75%"
"109","Mar 31, 2021","1,717.50","1,687.30","1,718.10","1,679.40","2.71K","1.75%"
"110","Mar 30, 2021","1,687.90","1,714.80","1,715.80","1,680.60","2.72K","-1.67%"
"111","Mar 29, 2021","1,716.50","1,736.30","1,736.30","1,707.50","4.05K","-1.15%"
"112","Mar 26, 2021","1,736.50","1,729.90","1,738.90","1,723.20","3.39K","0.43%"
"113","Mar 25, 2021","1,729.10","1,738.00","1,748.80","1,725.00","2.95K","-0.47%"
"114","Mar 24, 2021","1,737.20","1,730.70","1,741.50","1,729.00","3.96K","0.45%"
"115","Mar 23, 2021","1,729.50","1,743.10","1,746.00","1,727.20","3.55K","-0.74%"
"116","Mar 22, 2021","1,742.40","1,745.00","1,745.90","1,730.70","2.56K","-0.19%"
"117","Mar 19, 2021","1,745.80","1,739.50","1,750.00","1,731.70","2.72K","0.54%"
"118","Mar 18, 2021","1,736.50","1,751.20","1,758.00","1,722.10","1.44K","0.31%"
"119","Mar 17, 2021","1,731.10","1,732.00","1,754.00","1,727.50","1.69K","-0.24%"
"120","Mar 16, 2021","1,735.20","1,733.70","1,743.80","1,731.00","1.39K","0.08%"
"121","Mar 15, 2021","1,733.80","1,730.00","1,737.30","1,724.80","0.55K","0.55%"
"122","Mar 12, 2021","1,724.30","1,726.30","1,732.40","1,701.60","1.14K","-0.17%"
"123","Mar 11, 2021","1,727.20","1,729.50","1,742.50","1,722.50","4.24K","0.04%"
"124","Mar 10, 2021","1,726.50","1,719.50","1,728.70","1,711.30","7.20K","0.27%"
"125","Mar 09, 2021","1,721.90","1,687.30","1,722.30","1,687.30","4.59K","2.32%"
"126","Mar 08, 2021","1,682.90","1,711.80","1,715.70","1,678.40","7.90K","-1.23%"
"127","Mar 05, 2021","1,703.80","1,696.80","1,709.70","1,690.80","3.17K","-0.12%"
"128","Mar 04, 2021","1,705.90","1,712.20","1,725.60","1,693.00","4.05K","-0.88%"
"129","Mar 03, 2021","1,721.00","1,734.60","1,734.60","1,705.00","2.19K","-1.02%"
"130","Mar 02, 2021","1,738.80","1,725.50","1,742.60","1,709.70","3.86K","0.61%"
"131","Mar 01, 2021","1,728.20","1,738.10","1,762.00","1,723.00","1.83K","-0.33%"
"132","Feb 26, 2021","1,734.00","1,773.60","1,777.00","1,720.80","5.07K","-2.63%"
"133","Feb 25, 2021","1,780.80","1,805.50","1,805.50","1,769.90","1.97K","-1.22%"
"134","Feb 24, 2021","1,802.80","1,810.50","1,814.80","1,787.90","0.90K","-0.43%"
"135","Feb 23, 2021","1,810.50","1,816.80","1,817.40","1,799.70","0.93K","-0.15%"
"136","Feb 22, 2021","1,813.20","1,791.00","1,816.80","1,786.40","0.78K","1.74%"
"137","Feb 19, 2021","1,782.20","1,771.30","1,794.40","1,765.00","1.11K","0.13%"
"138","Feb 18, 2021","1,779.90","1,784.60","1,792.60","1,773.20","1.48K","0.12%"
"139","Feb 17, 2021","1,777.70","1,792.00","1,798.00","1,773.00","1.97K","-1.45%"
"140","Feb 16, 2021","1,803.90","1,826.60","1,831.00","1,793.50","1.98K","-0.82%"
"141","Feb 15, 2021","1,818.75","1,820.90","1,827.00","1,815.60","0","-0.13%"
"142","Feb 14, 2021","1,821.05","1,822.45","1,826.30","1,820.15","0","-0.39%"
"143","Feb 12, 2021","1,828.10","1,825.90","1,835.00","1,817.90","1.24K","-0.21%"
"144","Feb 11, 2021","1,832.00","1,842.20","1,850.80","1,826.90","1.20K","-0.85%"
"145","Feb 10, 2021","1,847.70","1,840.00","1,860.60","1,840.00","2.06K","0.29%"
"146","Feb 09, 2021","1,842.40","1,836.70","1,853.00","1,836.70","1.36K","0.19%"
"147","Feb 08, 2021","1,838.90","1,820.70","1,844.00","1,814.10","2.78K","1.16%"
"148","Feb 05, 2021","1,817.80","1,801.80","1,820.40","1,797.80","1.47K","1.22%"
"149","Feb 04, 2021","1,795.90","1,838.00","1,838.00","1,790.30","1.74K","-2.38%"
"150","Feb 03, 2021","1,839.60","1,844.30","1,847.20","1,834.80","1.21K","0.11%"
"151","Feb 02, 2021","1,837.60","1,866.70","1,869.10","1,835.20","1.19K","-1.60%"
"152","Feb 01, 2021","1,867.40","1,864.60","1,874.60","1,858.50","3.44K","0.68%"
"153","Jan 29, 2021","1,854.70","1,847.60","1,881.80","1,847.60","1.91K","0.48%"
"154","Jan 28, 2021","1,845.80","1,846.20","1,870.40","1,841.50","0.81K","-0.43%"
"155","Jan 27, 2021","1,853.80","1,858.60","1,858.60","1,843.00","1.26K","-0.32%"
"156","Jan 26, 2021","1,859.80","1,868.60","1,868.60","1,857.00","1.71K","-0.22%"
"157","Jan 25, 2021","1,863.90","1,864.40","1,874.40","1,855.00","1.66K","-0.05%"
"158","Jan 22, 2021","1,864.80","1,871.30","1,871.30","1,845.00","1.12K","-0.49%"
"159","Jan 21, 2021","1,874.00","1,876.90","1,882.70","1,869.20","1.81K","-0.04%"
"160","Jan 20, 2021","1,874.80","1,853.10","1,880.00","1,840.00","1.02K","1.40%"
"161","Jan 19, 2021","1,849.00","1,832.80","1,850.70","1,810.00","1.63K","0.68%"
"162","Jan 18, 2021","1,836.60","1,809.65","1,839.45","1,809.65","0","1.48%"
"163","Jan 17, 2021","1,809.75","1,826.80","1,829.10","1,803.60","0","-1.59%"
"164","Jan 15, 2021","1,839.00","1,857.90","1,863.40","1,832.30","0.54K","-1.18%"
"165","Jan 14, 2021","1,861.00","1,856.90","1,866.20","1,836.60","1.94K","-0.19%"
"166","Jan 13, 2021","1,864.60","1,867.20","1,871.00","1,851.60","1.82K","0.57%"
"167","Jan 12, 2021","1,854.10","1,860.20","1,873.20","1,846.00","1.40K","-0.37%"
"168","Jan 11, 2021","1,860.90","1,853.40","1,861.30","1,828.20","1.37K","0.84%"
"169","Jan 08, 2021","1,845.40","1,919.70","1,920.60","1,844.00","3.45K","-4.09%"
"170","Jan 07, 2021","1,924.00","1,933.80","1,938.00","1,920.70","3.30K","0.24%"
"171","Jan 06, 2021","1,919.40","1,965.60","1,971.50","1,914.40","3.81K","-2.33%"
"172","Jan 05, 2021","1,965.20","1,955.00","1,965.90","1,953.70","2.22K","0.39%"
"173","Jan 04, 2021","1,957.60","1,927.20","1,959.20","1,926.90","1.25K","2.94%"
"174","Jan 01, 2021","1,901.60","1,901.60","1,901.60","1,901.60","0","-0.22%"
"175",NA,NA,NA,NA,NA,"Volume",NA
"176",NA,NA,NA,NA,NA,"111.27M",NA
"177",NA,NA,NA,NA,NA,"6.27M",NA
"178",NA,NA,NA,NA,NA,"18.48M",NA
"179",NA,NA,NA,NA,NA,"7.99M",NA
"180",NA,NA,NA,NA,NA,"19.14M",NA
"181",NA,NA,NA,NA,NA,"26.52M",NA
"182",NA,NA,NA,NA,NA,NA,NA
"183",NA,NA,NA,NA,NA,NA,NA
"184",NA,NA,NA,NA,NA,NA,NA
"185",NA,NA,NA,NA,NA,NA,NA
"186",NA,NA,NA,NA,NA,NA,NA
"187",NA,NA,NA,NA,NA,NA,NA
"188",NA,NA,NA,NA,NA,NA,NA
"189",NA,NA,NA,NA,NA,NA,NA
"190",NA,NA,NA,NA,NA,NA,NA
"191",NA,NA,NA,NA,NA,NA,NA
"192",NA,NA,NA,NA,NA,NA,NA
"193",NA,NA,NA,NA,NA,NA,NA
"194",NA,NA,NA,NA,NA,NA,NA
"195",NA,NA,NA,NA,NA,NA,NA
"196",NA,NA,NA,NA,NA,NA,NA
"197",NA,NA,NA,NA,NA,NA,NA
"198",NA,NA,NA,NA,NA,NA,NA
"199",NA,NA,NA,NA,NA,NA,NA
"200",NA,NA,NA,NA,NA,NA,NA
